BibTeX_Key	Title	Year	Category	Venue	Entry_Type	Authors	DOI	URL	Code
Baker89	A Simple Solution to the Yale Shooting Problem	1989	Other / Background	Proceedings of the 1st International Conference on Principles of Knowledge Representation and Reasoning (KR'89). Toronto, Canada, May 15-18 1989	inproceedings	Andrew B. Baker			
KleerW89	Diagnosis with Behavioral Modes	1989	Other / Background	Proceedings of the 11th Intl. Joint Conference on Artificial Intelligence, IJCAI	inproceedings	Johan de Kleer; Brian C. Williams			
LifschitzR89	Miracles in Formal Theories of Action	1989	Other / Background	Artif. Intell.	article	Vladimir Lifschitz; Arkady Rabinov			
Reiter87	A Theory of Diagnosis from First Principles	1987	Other / Background	Artificial Intelligence	article	Raymond Reiter			
EmeHal86	Sometimes and Not Never Revisited: On Branching Versus Linear Time Temporal Logic	1986	Other / Background	J. ACM	article	E. A. Emerson; J. Y. Halpern			
Moore85	A Formal Theory of Knowledge and Action	1985	Other / Background	Formal Theories of the Commonsense World	inproceedings	Robert C. Moore			
Hoare85	Communicating Sequential Processes	1985	Other / Background	Prentice-Hall	book	C. A. R. Hoare			
McCarthyH69	Some Philosophical Problems from the Standpoint of Artificial Intelligence	1969	Other / Background	Machine Intelligence	article	John McCarthy; Patrick J. Hayes			
McCarthy1969:AI	Some Philosophical Problems From the Standpoint of Artificial Intelligence	1969	Other / Background	Machine Intelligence	article	J. McCarthy; P. J. Hayes			
Mackie65	Causes and Conditions	1965	Other / Background	American Philosophical Quarterly	article	John Leslie Mackie			
Hintikka62	Knowledge and Belief	1962	Other / Background	Cornell University Press	book	Jaakko Hintikka			
eupa2026	EUPA: Embodied Uncertainty-Aware Multimodal Affect Perception for Consumer Electronic Systems	2026	Scene Graphs / Multimodal Reasoning	IEEE Transactions on Consumer Electronics	article				
zhang2026scenellm	Scenellm: Implicit language reasoning in llm for dynamic scene graph generation	2026	Scene Graphs / Multimodal Reasoning	Pattern Recognition	article	Zhang, Hang; Li, Zhuoling; Liu, Jun			
rmdg2025	A Generative Random Modality Dropout Framework for Robust Multimodal Emotion Recognition	2025	Scene Graphs / Multimodal Reasoning	IEEE Intelligent Systems	article				
zhao2025integrapsg	IntegraPSG: Integrating LLM Guidance with Multimodal Feature Fusion for Single-Stage Panoptic Scene Graph Generation	2025	Scene Graphs / Multimodal Reasoning	Electronics	article	Zhao, Yishuang; Zhang, Qiang; Sun, Xueying; Liu, Guanchen			
xu2025llava	Llava-spacesgg: Visual instruct tuning for open-vocabulary scene graph generation with enhanced spatial relations	2025	Scene Graphs / Multimodal Reasoning	2025 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)	inproceedings	Xu, Mingjie; Wu, Mengyang; Zhao, Yuzhi; Li, Jason Chun Lok; Ou, Weifeng			
yang2025llm	Llm meets scene graph: Can large language models understand and generate scene graphs? a benchmark and empirical study	2025	Scene Graphs / Multimodal Reasoning	Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)	inproceedings	Yang, Dongil; Kim, Minjin; Mac Kim, Sunghwan; Kwak, Beong-woo; Park, Minjun; et al.			
jeong2025llm	LLM-powered scene graph representation learning for image retrieval via visual triplet-based graph transformation	2025	Scene Graphs / Multimodal Reasoning	Expert Systems with Applications	article	Jeong, Soohwan; Park, Jongmin; Choi, Mingyu; Kwon, Yongjin; Lim, Sungsu			
raft2025	Raft: Robust adversarial fusion transformer for multimodal sentiment analysis	2025	Scene Graphs / Multimodal Reasoning	Array	article				
wang2025sakr	SAKR-Edit: Scene-Aware Knowledge Reasoning for Text-to-Image Editing	2025	Scene Graphs / Multimodal Reasoning	Proceedings of the 33rd ACM International Conference on Multimedia	inproceedings	Wang, Jiawen; Li, Jianjun; Ma, Zhiyuan; Bai, Ruixia			
platnick2024enabling	Enabling Perspective-Aware Ai with Contextual Scene Graph Generation	2024	Scene Graphs / Multimodal Reasoning	Information	article	Platnick, Daniel; Alirezaie, Marjan; Rahnama, Hossein			
xu2024llm	Llm and gnn are complementary: Distilling llm for multimodal graph learning	2024	Scene Graphs / Multimodal Reasoning	arXiv preprint arXiv:2406.01032	article	Xu, Junjie; Wu, Zongyu; Lin, Minhua; Zhang, Xiang; Wang, Suhang			
li2024llm	LLM-enhanced Scene Graph Learning for Household Rearrangement	2024	Scene Graphs / Multimodal Reasoning	SIGGRAPH Asia 2024 Conference Papers	inproceedings	Li, Wenhao; Yu, Zhiyuan; She, Qijin; Yu, Zhinan; Lan, Yuqing; et al.			
kim2024llm4sgg	Llm4sgg: Large language models for weakly supervised scene graph generation	2024	Scene Graphs / Multimodal Reasoning	Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition	inproceedings	Kim, Kibum; Yoon, Kanghoon; Jeon, Jaehyeong; In, Yeonjun; Moon, Jinyoung; et al.			
dai2024optimal	Optimal scene graph planning with large language model guidance	2024	Scene Graphs / Multimodal Reasoning	2024 IEEE International Conference on Robotics and Automation (ICRA)	inproceedings	Dai, Zhirui; Asgharivaskasi, Arash; Duong, Thai; Lin, Shusen; Tzes, Maria-Elizabeth; et al.			
chen2024scene	Scene graph generation with role-playing large language models	2024	Scene Graphs / Multimodal Reasoning	Advances in Neural Information Processing Systems	article	Chen, Guikun; Li, Jin; Wang, Wenguan			
li2024scene	Scene graph generation: A comprehensive survey	2024	Scene Graphs / Multimodal Reasoning	Neurocomputing	article	Li, Hongsheng; Zhu, Guangming; Zhang, Liang; Jiang, Youliang; Dang, Yixuan; et al.			
yin2024sg	Sg-nav: Online 3d scene graph prompting for llm-based zero-shot object navigation	2024	Scene Graphs / Multimodal Reasoning	Advances in neural information processing systems	article	Yin, Hang; Xu, Xiuwei; Wu, Zhenyu; Zhou, Jie; Lu, Jiwen			
zhang2024sgedit	Sgedit: Bridging llm with text2image generative model for scene graph-based image editing	2024	Scene Graphs / Multimodal Reasoning	arXiv preprint arXiv:2410.11815	article	Zhang, Zhiyuan; Chen, DongDong; Liao, Jing			
lv2024sgformer	Sgformer: Semantic graph transformer for point cloud-based 3d scene graph generation	2024	Scene Graphs / Multimodal Reasoning	Proceedings of the AAAI Conference on Artificial Intelligence	inproceedings	Lv, Changsheng; Qi, Mengshi; Li, Xia; Yang, Zhengyuan; Ma, Huadong			
colombani2024time	Time is on my sight: scene graph filtering for dynamic environment perception in an LLM-driven robot	2024	Scene Graphs / Multimodal Reasoning	arXiv preprint arXiv:2411.15027	article	Colombani, Simone; Brini, Luca; Ognibene, Dimitri; Boccignone, Giuseppe			
huang2024toward	Toward Scene Graph and Layout Guided Complex 3D Scene Generation	2024	Scene Graphs / Multimodal Reasoning	arXiv preprint arXiv:2412.20473	article	Huang, Yu-Hsiang; Wang, Wei; Huang, Sheng-Yu; Wang, Yu-Chiang Frank			
chen2024makes	What makes a scene? scene graph-based evaluation and feedback for controllable generation	2024	Scene Graphs / Multimodal Reasoning	arXiv preprint arXiv:2411.15435	article	Chen, Zuyao; Wu, Jinlin; Lei, Zhen; Chen, Chang Wen			
zhao2023less	Less is more: Toward zero-shot local scene graph generation via foundation models	2023	Scene Graphs / Multimodal Reasoning	arXiv preprint arXiv:2310.01356	article	Zhao, Shu; Xu, Huijuan			
chang2021comprehensive	A comprehensive survey of scene graphs: Generation and application	2021	Scene Graphs / Multimodal Reasoning	IEEE Transactions on Pattern Analysis and Machine Intelligence	article	Chang, Xiaojun; Ren, Pengzhen; Xu, Pengfei; Li, Zhihui; Chen, Xiaojiang; et al.			
chang2021scene	Scene graphs: A survey of generations and applications	2021	Scene Graphs / Multimodal Reasoning	arXiv preprint arXiv:2104.01111	article	Chang, Xiaojun; Ren, Pengzhen; Xu, Pengfei; Li, Zhihui; Chen, Xiaojiang; et al.			
